2.1e-07,4.8e-07,1.5e-06,1.6e-06,3.95608,-863249,-9.88925e+10
2.10588e-07,4.8e-07,1.5e-06,1.6e-06,3.90455,-777997,-1.35234e+11
2.11176e-07,4.8e-07,1.5e-06,1.6e-06,3.90242,-773829,-1.36371e+11
2.11765e-07,4.8e-07,1.5e-06,1.6e-06,3.89825,-765745,-1.38564e+11
2.12353e-07,4.8e-07,1.5e-06,1.6e-06,3.89615,-761638,-1.39679e+11
2.12941e-07,4.8e-07,1.5e-06,1.6e-06,3.89205,-753676,-1.4183e+11
2.13529e-07,4.8e-07,1.5e-06,1.6e-06,3.89,-749643,-1.42919e+11
2.14118e-07,4.8e-07,1.5e-06,1.6e-06,3.88592,-741739,-1.45031e+11
2.14706e-07,4.8e-07,1.5e-06,1.6e-06,3.88395,-737851,-1.46084e+11
2.15294e-07,4.8e-07,1.5e-06,1.6e-06,3.88,-730129,-1.48152e+11
2.15882e-07,4.8e-07,1.5e-06,1.6e-06,3.87802,-726234,-1.49192e+11
2.16471e-07,4.8e-07,1.5e-06,1.6e-06,3.87413,-718627,-1.51218e+11
2.17059e-07,4.8e-07,1.5e-06,1.6e-06,3.87219,-714799,-1.52235e+11
2.17647e-07,4.8e-07,1.5e-06,1.6e-06,3.86838,-707313,-1.54219e+11
2.18235e-07,4.8e-07,1.5e-06,1.6e-06,3.86647,-703551,-1.55212e+11
2.18824e-07,4.8e-07,1.5e-06,1.6e-06,3.86275,-696220,-1.57137e+11
2.19412e-07,4.8e-07,1.5e-06,1.6e-06,3.86084,-692476,-1.58109e+11
2.2e-07,4.8e-07,1.5e-06,1.6e-06,3.9046,-762008,-1.26936e+11
2.20588e-07,4.8e-07,1.5e-06,1.6e-06,3.85607,-682446,-1.60727e+11
2.21176e-07,4.8e-07,1.5e-06,1.6e-06,3.8525,-675460,-1.62549e+11
2.21765e-07,4.8e-07,1.5e-06,1.6e-06,3.85069,-671884,-1.63477e+11
2.22353e-07,4.8e-07,1.5e-06,1.6e-06,3.84718,-664996,-1.65255e+11
2.22941e-07,4.8e-07,1.5e-06,1.6e-06,3.8454,-661481,-1.66162e+11
2.23529e-07,4.8e-07,1.5e-06,1.6e-06,3.84195,-654695,-1.67905e+11
2.24118e-07,4.8e-07,1.5e-06,1.6e-06,3.84021,-651245,-1.68788e+11
